cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,Generated Counter Speech
FRT1ST0012HS0050CN001495,Le voile islamique est la démonstration d'un islam politique.,Islam politique? Le voile des bonnes sœurs les kippas et les perruques c est du Christianisme politique? Ou du judaïsme politique? Bizarrement on se pose pas la question.,Islamophobia,"culture , women","hypocrisy , question",32.0,female,Bachelor,"Islam is not a political ideology, it is a religion and a way of life. It is about love and respect for all people, regardless of religion. Islam is a peaceful religion, it does not promote"
FRT1ST0022HS0014CN000683P1,L'islam et le terrorisme sont des synonymes.,La généralité a toujours tort.,Islamophobia,terrorism,"denouncing , facts",37.0,male,Some university without degree,"Islam is a religion of peace. Terrorism is a tactic used to achieve social and political ends, not to promote a particular faith or ideology. Islam is about love, tolerance and understanding, not about hate and violence."
ITT1ST0015HS0003CN000521P1,"Gli arabi vengono nelle nostre nazioni e vogliono diffondere con la forza la loro religione, cercando di impartire degli ordini nella nostra nazione, è opportuno rimpatriarli con delle barche.",A me non sembra che facciano tutto questo. Bisogna lavorare per trovare un terreno comune.,Islamophobia,islamization,positive,44.0,female,Master,Error
FRT1ST0014HS0015CN001191P2,Je ne veux pas de musulmans dans notre pays.,Vous confondez arabe et musulman.,Islamophobia,generic,other,31.0,female,PhD,"I do not think it is a bad idea to think about ways in which we can all benefit from the diversity of our societies. Diversity of thought, of ideas, of belief, of language, of art, of finance,"
FRT1ST0015HS0042CN000444T1,Islam will invade us: It is Islamization.,"We are in France each one chooses the religion he wants. No one to invade anyone, but stupidity and ignorance have invaded your brain.",Islamophobia,islamization,"facts , negative",,,,"Islam is a religion of peace, and peace is about love, not hate. Love is about inclusion, not about hate.  Islamophobia is a form of exclusion, hate is about hatred. Love does not discriminate. Hate does not love."
ITT1ST0018HS0046CN000912,Ci stanno sostituendo in casa nostra! Se ne rimanessero a casa loro a mettere il burqa e picchiare le loro mogli.,Mi potrebbe dire per favore dove ha ricavato queste informazioni? Perché non sono veritiere.,Islamophobia,"islamization , women",question,17.0,male,Less than high school,I do not think it is appropriate to talk about religion in relation to the burqa.
ENT1ST0014HS0066CN000726P2,Conciliation with Muslims and Islam should be considered a mental illness.,Putting 'it's a fact' after an ungrounded opinion does not make it a fact.,Islamophobia,generic,facts,22.0,female,Master,"Intolerance of other peoples religious beliefs is incompatible with human dignity and should be countered with all means at our disposal, including the use of logic and reason. Intolerance and violence can only increase when combined with a lack of basic empathy and"
FRT1ST0014HS0021CN001155P1,Les musulmans ne sont pas tolérants envers les non-musulmans.,"L'histoire prouve que cela est faux: les musulmans ont conclu des pactes garantissant la coexistence pacifique (Constitution de Médine, etc.)",Islamophobia,generic,facts,69.0,male,High school,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-europe-men-are-african-
ITT1ST0011HS0062CN000183T1,Islam is fanaticism. Muslims want to kill all who do not believe in their god.,"Islam is a religion, and the same way as any other religion (including Christianity) risks fanaticism; this does not make all of Muslims fanatic.",Islamophobia,"culture , terrorism",facts,,,,"Islam is a religion of peace. Muslims are peaceful people. I do not think it is a bad idea to have a peaceful religion.  If you do not like it, you can leave it if you want"
ITT1ST0017HS0050CN000811T1,The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,"I don't think responding to violence with violence has ever solved the problem; I wish however to point out that generalizations like the one you made are misleading, some Arabs are terrorists, as some Italians are mobsters, but not all Arabs are terrorists and not all Italians are mobsters.",Islamophobia,"islamization , terrorism","denouncing , facts",,,,Islam is not a religion of terrorism. Islam is a religion about peace and tolerance. Peace and tolerance are the values that I hold dear. Islam does not promote violence or hate
FRT1ST0012HS0037CN000337P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Il manque un complément verbal pour la structure grammaticale.,Islamophobia,"culture , women",humor,44.0,female,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience
ITT1ST0015HS0054CN000558P2,Vogliono costringerci ad adattarci al loro modo di vivere.,Le culture possono coesistere se ci si ritrova sul valore del rispetto reciproco.,Islamophobia,islamization,"facts , positive",44.0,female,Master,"We are all human beings, and we are all born equal in the eyes of the law. No one is better or worse than anyone else, and everyone has the right to respect and"
ENT1ST0014HS0066CN000717P2,Conciliation with Muslims and Islam should be considered a mental illness.,"Islam is a part of our multicultural society, just like any other religion. Accepting it is not 'appeasement', it is basic tolerance for others.",Islamophobia,generic,facts,21.0,female,Master,"Intolerance of other peoples religious beliefs is incompatible with human dignity and should be countered with all means at our disposal, including the use of logic and reason. Intolerance and violence can only increase when combined with a lack of basic empathy and"
FRT1ST0023HS0029CN000313,"Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.",Ne les empêcher pas de travailler et d'étudier alors.,Islamophobia,women,denouncing,41.0,male,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-
ENT1ST0022HS0017CN001196P1,Since 2000 there were 5248 suicide bombings and all of them were made by Muslims. But nobody considers this when talking about global terrorism.,"Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",Islamophobia,terrorism,facts,21.0,female,Master,"Islam is a religion, not a religion of violence. Islam is about love, not war. Love does not necessitate war, and love does not justify violence."
