 hate_speech,knowledge_sentence,counter_narrative,target,FactualityScore
The vast majority of Muslims are unemployed and refuse to work.,"A part-time job, on the other hand, didn’t seem to raise questions about the commitment of female job applicants.David Pedulla, a sociologist at the University of Texas at Austin, sent out thousands of fake resumes to test how gender and work history affected callbacks by potential employers looking to interview the simulated job candidates.They, too, found that taking a “low-level interim job,” such as retail cashier, greatly reduced the likelihood of a callback for a job interview.Temp work, on the other hand, generated a 7.1% callback rate for men –the highest in the study outside of a full-time job — and an 8.3% callback rate for women.Where Just a Misdemeanor Could Keep You Out of a Job (April 26) Elevated Level of Part-Time Employment: Post-Recession Norm?“Alternatively, if an applicant has taken a low-level interim job, they may be better off not listing this job on their resume.”","David Pedulla, a sociologist at the University of Texas at Austin, sent out thousands of fake resumes to test how gender and work history affected callbacks by potential employers looking to interview the simulated job candidates. They found that the consequences of unemployment differ in important ways by the race and gender of the job applicant with significant discriminatory behaviour by potential employers. So, is really the vast majority of Muslims refusing to work or are they just being discriminated?",Islamophobia,0
Jews totally run Hollywood.,"And Jews in California intermarried with Christians at the highest rate among urban Jews in the country.""California Jews have been given a level of choice that few other American Jews have enjoyed,"" he says.Dollinger says that American Jews were reluctant to acknowledge the presence of large numbers of Jews who were born in Israel and lived in a kibbutz society but chose to live in Southern California.In the movie industry, that resulted in an odd juxtaposition as the moguls green-lighted Biblical epics.The book's 15 essays highlight other lesser-known aspects of Jewish history as well: the influence of women; the lives of ordinary people; the efforts of Jews to help the Japanese interned during World War II; and the denial by Jews of the Israel expatriates who settled in Southern California.They didn't want to admit that Jews born in what was considered the Promised Land would leave Israel permanently.","There are two facts you should know about Jews, Hollywood and California. First, Jews in California intermarried with Christians at the highest rate among urban Jews in the country, so there are less and less ""Jews"" strictu sensu in Hollywood. Second, the denial by Jews of the Israel expatriates who settled in California: They didn't want to admit that Jews born in what was considered the Promised Land would leave Israel, so Californian Jews are also a bit of pariahs.",Antisemitism,0
Jews are Christ Killers.,"The Romans crafted crucifixion as a form of shaming torture and public death.The New Testament revolves around a different trauma, the crucifixion of Jesus of Nazareth.It was left to later gospels, Matthew, Luke-Acts and John, to balance the horror and terror of Roman crucifixion with accounts of Jesus’s resurrection and the development of the early church.The gospels record that Jesus was crucified with a sign “king of the Jews” above his head as a mark of the charge that he was just such a leader, and this crucifixion was felt as a mark of shame for decades.In the end, the Romans did not end the Jesus movement, but were overtaken by it.These measures are justified as fights against “terrorists” abroad or anti-crime/anti-drug campaigns at home.","The Romans crafted crucifixion as a form of shaming torture and public death, not the Jews. It was left to later gospels, Matthew, Luke-Acts and John, to balance the horror and terror of ROMAN crucifixion with accounts of Jesus’s resurrection and the development of the early church. So, also the gospels do not trot out Jews.",Antisemitism,0
Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,"""We think the risk from condomless anal sex is low, but we need to ensure we have a couple years of follow up to give more precise estimates,"" she said. About 33 percent of gay participants and 4 percent of heterosexual participants who were HIV-negative at the start of the study reported condomless sex with other partners, the researchers write. Overall, the 548 heterosexual and 340 gay couples reported about 60,000 unprotected sex acts during the study. After following nearly 900 heterosexual and gay couples for an average of 16 months, researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression. For example, he said, when the study started, many of the participants had been having condomless sex with their partners for several years. The new study, conducted in 14 European countries, involved couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other.","A recent study, conducted in 14 European countries, involved both heterosexual and gay couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other. Researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression.",Homophobia,0
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Women truck drivers, for example, earn about 76% the wages of male truck drivers.4. Women should quit whining.Their posts seem to fit into a few major categories: 1. Women do not deserve equal rights.We argued that women deserve equal pay for equal work, that the ability to decide whether and when to become parents is central to ""freedom,"" and that all forms of discrimination in the workplace and the public sphere should be challenged and dismantled.Are women really victims of the 'motherhood penalty'?In Egypt, keep the crusade for women's rights alive","Are you sure? Women truck drivers, for example, earn about 76% the wages of male truck drivers. It's still a long way to equality.",Misogyny,0
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","In Egypt, keep the crusade for women's rights alive.How far have American women come since winning the right to vote in 1920?4. Women should quit whining.Their posts seem to fit into a few major categories: 1. Women do not deserve equal rights.We argued that women deserve equal pay for equal work, that the ability to decide whether and when to become parents is central to ""freedom,"" and that all forms of discrimination in the workplace and the public sphere should be challenged and dismantled.Surveys show that women would prefer to work in male-dominated fields in order to earn better wages, yet discrimination still prevents entry into those positions.","There are still many believing that women do not deserve equal rights and put it into practice. For example, surveys show that women would prefer to work in male-dominated fields in order to earn better wages, yet discrimination still prevents entry into those positions.",Misogyny,0
Jewish landlords are greedy and exploit their tenants.,"City pols are blasting City Council candidate Thomas Lopez-Pierre for his latest inflammatory comments about “greedy Jewish landlords.”He blasted out a fund-raising e-mail earlier this month with the subject line “SAVE HARLEM from Greedy Jewish Landlords.”“Your repeated references to ‘greedy Jewish landlords’ in your most recent email play on a long-established anti-Semitic trope,” the group of 14 elected officials wrote.“Greedy Landlords and NYC Council Member Mark Levine are working together to push Black and Hispanic tenants out of Harlem!”“Your reference to your opponent as the ‘only Jewish candidate in the race’ and frequent depiction of him in religious garb amount to gratuitous targeting of him based on religion.”he wrote, going on to charge that Levine, “the only Jewish person in the race,” only won in 2013 because there were eight black and Hispanic candidates running against him.","This story comes back cyclically... There was once a NYC candidate, Thomas Lopez-Pierre, who wrote inflammatory comments about “greedy Jewish landlords.” He blasted out a fund-raising e-mail with the subject line “SAVE HARLEM from Greedy Jewish Landlords.” This repeated references to ‘greedy Jewish landlords’ play on a long-established anti-Semitic trope, about these alleged Greedy Landlords working together to push poor tenants out of specific neighborhoods.",Antisemitism,0
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","The Ethiopians suffer from discrimination and high unemployment.During Operation Moses in 1984 and Operation Solomon in 1991, about 35,000 Ethiopian Jews were airlifted to Israel.Most of their relatives left behind belong to the Falash Mura community, Ethiopian Jews who converted to Christianity about a century ago and who are concentrated around Addis Ababa and the northeastern Gondar province.Their community in Israel now numbers about 80,000, including several hundred in West Bank settlements, but doubts about their Jewishness have sparked intense debate among religious authorities and Israeli society.But Interior Minister Avraham Poraz, from the secular Shinui party, has said that he will not allow them to arrive en masse without assurances that more candidates will not seek to immigrate by citing familiy ties.The government gave the green light in February for some 20,000 of them to immigrate under Israel's law of return, which says that Jews anywhere in the world have the right to make the aliyah (ascent) to Israel and claim citizenship.","Maybe Jews are different from non-Jews because of their values. For example, during Operation Moses in 1984 and Operation Solomon in 1991, about 35,000 Ethiopian Jews were airlifted to Israel to escape hardship. Are you sure that our fellow citizens would do the same for us?",Antisemitism,0
Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"In short, scholars have become quite critical of the concept of race. “On the New Biology of Race” (Journal of Philosophy Vol. If siblings — who share the largest amount of DNA — can be identified as being of different races because of the way they look (as is common in Latin America and in my own family), how can race be biological? Serious scholarship in the area of race is really just beginning. In recent weeks, the state of Arizona has intensified its attack in its schools on an entire branch of study — critical race theory. As for myself, I am actually a racial realist, and have defended the reality of race throughout my work, precisely in the sense some of the commentators have wanted to emphasize: that race is a socially constructed category with much significance and relevance even though the old-fashioned biological notions of race are false.","If siblings — who share the largest amount of DNA — can be identified as being of different races because of the way they look (as is common in Latin America, for example), how can race be biological? And if race is not biological, would you then say that one sibling is ""a piece of human waste"" while the other not? That is a bit paradoxical.",Racism,0
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.","Although some Mormons practiced polygamy in the 19th century, the Church of Jesus Christ of Latter-day Saints has banned the practice since 1890.A federal judge struck down parts of Utah’s anti-polygamy law in 2013, saying the law violated the “Sister Wives” family’s right to privacy and religious freedom.The state’s appeal of the ruling is pending in the U.S. Court of Appeals for the 10th Circuit.Six Supreme Court decisions have upheld bans on polygamy and public support for polygamy remains low, so it’s unlikely the courts will change the laws anytime soon, said John Witte Jr. a law professor at Emory University who recently published “The Western Case for Monogamy over Polygamy.”On the other hand, Ilya Somin, a law professor at George Mason University School of Law, said it’s difficult to identify the sort of prejudice against polygamous families that Kennedy cited as motivating unconstitutional prohibitions against same-sex marriage.“It’s time to legalize polygamy,” writer Fredrik Deboer declared on the day of the Supreme Court’s decision, arguing that “the marriage equality movement has been curiously hostile to polygamy, and for a particularly unsatisfying reason: short-term political need.”","Mormons practiced polygamy in the 19th century as well. There are western academics, such as Fredrik Deboer, claiming “It’s time to legalize polygamy” (just to mention a few cases). Are they a problem as well?",Islamophobia,0
Jews think they are better than everyone else,"Another asks if Jews consider themselves the chosen people.""You are a very interesting object to most people here."" ""Are there still Jews in Germany?""''Are the Jews a chosen people?""""With so few of us, you almost inevitably feel like an exhibition piece,"" volunteer Leeor Englander said. ""With this exhibition we offer an opportunity for those people to know more about Jews and Jewish life.""""We wanted to provoke, that's true, and some people may find the show outrageous or objectionable,"" Goldmann said.","Maybe it's because after the Holocaust, with so few of them left, they almost inevitably feel like a unique exhibition piece in a museum.",Antisemitism,0
"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","sapiens had a lasting impact on human genetics. Neanderthal interbreeding with Homo Research showing that our species interbred with Neanderthals some 100,000 years ago is providing intriguing evidence that Homo sapiens ventured out of Africa much earlier than previously thought, although the foray appears to have fizzled. Previous research had established that Homo sapiens and our close cousins the Neanderthals interbred around 50,000 to 60,000 years ago, said geneticist Sergi Castellano of the Max Planck Institute for Evolutionary Anthropology in Germany. It implies that modern humans left Africa in several waves, some of which probably went extinct.” Scientists said on Wednesday an analysis of the genome of a Neanderthal woman whose remains were found in a cave in the Altai Mountains in southern Siberia near the Russia-Mongolia border detected residual DNA from Homo sapiens, a sign of inter-species mating.","Come on, we do not even know exaclty what humanity is, let alone races! For example, research had established that Homo sapiens and our close cousins the Neanderthals interbred around 50,000 years ago. Humanity is the product of inter-species mating, that is the only reality that matters.",Racism,0
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"“Sexual orientation and gender identity terms will be discussed with focus on appreciation for individual differences.” “Students will be provided definitions for sexual orientation terms heterosexuality, homosexuality and bisexuality; and the gender identity term transgender,” Eighth graders will be taught that individual identity “occurs over a lifetime and includes the component of sexual orientation and gender identity.” Last week, the school board voted to include gender identity in the district’s nondiscrimination policy – a decision that was strongly opposed by parents. However, Torre told me that parents will indeed be able to opt out of those classes “including the sexual orientation and gender identity lessons.” “Individual identity will also be described as having four parts – biological gender, gender identity (includes transgender), gender role, and sexual orientation (includes heterosexual, bisexual, and homosexual).”","As long as sexual orientation and gender identity are discussed with focus on appreciation for individual differences, what is the problem?",Homophobia,0
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.","14-year-old Rimsha, to be released on bail at her next court hearing.So, the imam added two pages from the holy book itself to the bag to bolster the case, Jaffery said.Police arrested Rimsha last month after a neighbor accused her of burning pages containing texts from the Muslim holy book, the Quran.The imam, Khalid Jadoon Chishti, will himself face blasphemy charges for tearing pages out of a Quran to use as evidence against the girl, Islambad police chief Bin Yamin said.Choudhry says he expects the trial to last as long as two years.Police arrested Chishti on Saturday after three witnesses told a judge about the imam's actions.","No, the problem is the wickedness of religious fanatics. Did you know the story of Rimsha Masih, the Pakistani girl arrested after a neighbor accused her of burning pages containing texts from the Quran, and then released? Three witnesses told a judge that an imam, Khalid Jadoon Chishti, teared pages out of a Quran to use as evidence against the girl. An imam!!",Islamophobia,0
