hate_speech,knowledge_sentence,counter_narrative,target,Generated Counter Speech
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!","Comprehensive data on the effect of discrimination and hate crimes targeting Muslim women are hard to find.But for Muslim women, these isolated incidents of misogyny or violence have taken on an additional, ugly edge.According to one researcher, 69 percent of Muslim women who wore hijab reported at least one incident of discrimination; for those who did not wear hijab, it was 29 percent.To Muslim women, these numbers aren’t abstract.Through clenched teeth, he ranted that Muslim men are rapists and terrorists, and that Muslim women are victims of their own oppression.In each study, women who wore visible symbols of Islam such as a hijab or niqab were more likely to be targeted.","According to one researcher, 69 percent of Muslim women who wore hijab reported at least one incident of discrimination; for those who did not wear hijab, it was 29 percent. To Muslim women, these numbers aren’t abstract. To Muslim women it is intollerance that brings oppression, not Islam.",Islamophobia,"Islam is a religion of peace, tolerance, and understanding. It is not about oppressing women or people from a certain religion. Islam is about peace and tolerance.  Islam does not promote oppression of women, nor does it promote hatred.  Muslims are not oppressing anyone. In fact, many Muslims live in Western nations and have contributed greatly to our society. They are our brothers and sisters. We should be grateful for the many benefits they have brought to our country.  Muslim women face a lot of discrimination because of their religion in the West. However, they are not the only victims of hate crime or racism. Islamophobia"
Jews totally run Hollywood.,"And Jews in California intermarried with Christians at the highest rate among urban Jews in the country.""California Jews have been given a level of choice that few other American Jews have enjoyed,"" he says.Dollinger says that American Jews were reluctant to acknowledge the presence of large numbers of Jews who were born in Israel and lived in a kibbutz society but chose to live in Southern California.In the movie industry, that resulted in an odd juxtaposition as the moguls green-lighted Biblical epics.The book's 15 essays highlight other lesser-known aspects of Jewish history as well: the influence of women; the lives of ordinary people; the efforts of Jews to help the Japanese interned during World War II; and the denial by Jews of the Israel expatriates who settled in Southern California.They didn't want to admit that Jews born in what was considered the Promised Land would leave Israel permanently.","There are two facts you should know about Jews, Hollywood and California. First, Jews in California intermarried with Christians at the highest rate among urban Jews in the country, so there are less and less ""Jews"" strictu sensu in Hollywood. Second, the denial by Jews of the Israel expatriates who settled in California: They didn't want to admit that Jews born in what was considered the Promised Land would leave Israel, so Californian Jews are also a bit of pariahs.",Antisemitism,"If you watch the Academy Awards you will see that Jews do not dominate the movie industry at all. Instead, they are a small but vocal minority of actors, directors, producers, etc. That makes them the victims of discrimination and exclusion, not the “superior race”.   The “Enlightenment” would be a better place if we stopped scapegoating and accepted that everyone is equal in the eyes of the law, regardless of their skin color.  (link to article about Jewish actors being underrepresented in the industry)   And finally, I would like to point out that “race” is a social construct, and has nothing to do with physical or genetic traits. We are all human beings with the potential to be"
"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","Is there still a place in modern-day America for a gender-equality movement? “ I don’t need feminism because I believe in equality, not entitlements and supremacy.”A true equality movement would be concerned with the needs and interests of both sexes.Many others, however, say they repudiate feminism even though — indeed, because — they support equality and female empowerment: Female anti-feminism is nothing new.But, while the anti-feminist rebellion has its eye-rolling moments, it raises valid questions about the state of Western feminism in the 21st century — questions that must be addressed if we are to continue making progress toward real gender equality.","Is there still a place in modern-day world for a gender-equality movement? Of course feminism believes in equality, not entitlements and supremacy, but it needs to focus on the weaker sex.",Misogyny,"In the end, it is up to each individual to decide whether or not they want to participate in a movement that aims to achieve equality for all, regardless of their gender, sexual orientation, or physical or cognitive abilities.  If you want to be a part of this movement, you have to be willing to be treated with respect and dignity. Feminism does not want to do this for you. Respect and dignity are human rights, and you can't have them if you're not willing to give them your full and equal attention. Equality is about living in the inclusive society, and feminism is about ensuring that everyone has a fair chance to live their life.   The goal of feminism is"
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","In a few cases, people accused of hate crimes against Muslims and others have even cited Mr. Trump.“We see criminal threats against mosques; harassment in schools; and reports of violence targeting Muslim-Americans, Sikhs, people of Arab or South-Asian descent and people perceived to be members of these groups,” Ms. Gupta said.In the killing last year of three Muslim students in Chapel Hill, N.C., for instance, the authorities did not bring hate crime charges against a neighbor who is charged with murdering them, despite calls from Muslims who said there were religious overtones to the violence.The latest major episode of anti-Muslim violence came last weekend, when an arsonist on a motorcycle started a fire that engulfed the Islamic Center of Fort Pierce, Fla., where Omar Mateen — the gunman in the June massacre at the Pulse nightclub in Orlando — had sometimes prayed.The increase in reports of apparent hate crimes has worried Justice Department officials.One exception was hate crimes against transgender people, which rose about 40 percent.","We see criminal threats against mosques; harassment in schools; and reports of violence targeting Muslim-Americans... BUT Islam is an ideology of war. In the killing of three Muslim students in Chapel Hill, N.C., there was a clear hate crime from the neighbor who is charged with murdering them... BUT Islam is an ideology of war. An arsonist on a motorcycle started a fire that engulfed the Islamic Center of Fort Pierce, Fla... BUT Islam is an ideology of war.",Islamophobia,"If you really cared about human rights you would call it a lie to blame an entire faith for the actions of a few.  You would call Islam a peaceful religion, and you would be the first to admit that it is full of problems. But you would do that only because it is the only religion that offers the possibility of a just and peaceful society.  Islam is not evil, nor is it a violent religion. It is a religion that professes peace and it is up to us to make sure that its teachings are carried out in"
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"“Sexual orientation and gender identity terms will be discussed with focus on appreciation for individual differences.” “Students will be provided definitions for sexual orientation terms heterosexuality, homosexuality and bisexuality; and the gender identity term transgender,” Eighth graders will be taught that individual identity “occurs over a lifetime and includes the component of sexual orientation and gender identity.” Last week, the school board voted to include gender identity in the district’s nondiscrimination policy – a decision that was strongly opposed by parents. However, Torre told me that parents will indeed be able to opt out of those classes “including the sexual orientation and gender identity lessons.” “Individual identity will also be described as having four parts – biological gender, gender identity (includes transgender), gender role, and sexual orientation (includes heterosexual, bisexual, and homosexual).”","If gender identity is taught to foster nondiscrimination policy and parents are indeed able to opt out of those classes, what is the problem?",Homophobia,"Gender Identity and Sexual orientation are personal orientations that are not related to one's biological sex. Gender is a social construct and has nothing to do with one's anatomy. Sexual orientation is a personal preference that can be expressed in many ways, and each person has the right to choose how to live their life.   If you want to learn more about gender and sexuality, you should talk to a real person, not just a bunch of gender stereotypes spread around in social media and in the media.  Gender and sexuality are not social construct, they are personal feelings that are strongly influenced by one's own experiences.  Sexuality is not a ""code word"" for gender."
Women should stop whining: there are no professions barred to them in Western Society.,"In the United States, women make up about 12 percent of engineering professors, one of the lowest percentages in all STEM fields, where women are more likely to make up 18 to 22 percent of the faculty.While that news is hardly shocking, a new National Science Foundation report released on Saturday about why so few women go into engineering, or stay in the field, highlights a key reason: a workplace culture of incivility toward women.The findings add weight and context to previous looks at why more women don’t go into or don’t stay in STEM fields.Of the women who left the field less than five years ago, two-thirds pursued better opportunities in other fields, — 72 percent became either managers or executives.Yet fewer than 11 percent of all engineers are women.Another report by the American Association of University Women, “Why So Few?”",Let me introduce you the example of the STEM field In the United States. Women make up only about 20 percent of professors in those faculties. We should ask ourself: “Why So Few?”,Misogyny,"If a woman does not want to be a homemaker, then she’s a bitch. If a man doesn’t want to do the same, then they’re entitled to their own opinions and beliefs, and they should be respected for them.  If you want a stable and happy society, you’ve got to accept that there are people who don't want to conform to your idea of what a ""real man"" should be like.  The problem is not with the individual, but with the society in which we live.   The solution is to respect people for who they are, regardless of their gender.  Respect is the key to a happy and prosperous society."
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.","""Imported blood raises concern of AIDS to B.C. hemophiliacs. It would also discriminate against gays -- a contravention of International Red Cross policy. . The incidence of AIDS is much higher across the border, and there has been speculation that the little-understood but deadly disease can be transmitted through blood. Each dose of factor concentrate contains blood components from up to 20,000 different donors. . it was ""probably blood borne"" and outlined the high-risk groups that should not donate blood. It says the blood supply is safe -- and besides, blood is tested before it's used.","Apart from the prejudice against homosexual people, it is not true that diseases are being spred aroud. Blood supply is safe because blood is tested before it's used.",Homophobia,"Homosexuality is not a disease, it is a behavioral preference, and it is perfectly fine to be attracted to people of the same sex. Homosexuals are not spreading AIDS, they are just living their lives.   If you really cared about AIDS you would call for an end to homosexuality and call for the decriminalization of all forms of homosexuality.  The world would be a better place without homophobia.  (link to article about the spread of HIV through heterosexual sex in the 80s and 90s)   This is just hatred. You do not have to agree with it, but you should know that it is wrong"
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Jewish identity will be plural and will mean what those people who consciously call themselves Jews decide it will mean.We do not know what Jewish identity meant in the past because there was no one Jewish identity to be known.There were Jewish identities.It will include, just like every other cultural/religious identity, saints and sinners, tribalists and globalists, hustlers and heroes, spiritual geniuses and hardened cynics, Jews who exclude other Jews from being called Jews and Jews who include Jews who could not care less about being included as Jews, philanthropists and philanderers, good folk and bad And what will Jewish mean in the future?How will we Jews survive: retain our roots and embrace change?","There is no “Jewishness” inherited through genes or blood. There is Jewish identity. It includes, just like every other cultural/religious identity, saints and sinners, tribalists and globalists, hustlers and heroes, spiritual geniuses and hardened cynics, philanthropists and philanderers, good folks and bad folks.",Antisemitism,"The idea that Jews are “different” from other people is simply wrong. They are human beings with the same values and hopes for the future as anyone else. They have every right to be proud of their heritage and religion, and to live their lives as they wish. This is their right as human beings, and they should be respected for it.   If you really cared about human rights, you would call for an end to discrimination and for a more equal society. But you seem to be concerned only with your own interests, and not with the interests of your fellow human beings. This attitude is incompatible with"
99% of Muslims in the UK are unemployable and refuse to work.,"Instead, Muslims are making non-Muslim friends.So should Muslims here be seen as suspect?No doubt, some Muslims here feel the same pressures.oh, yes — worry about Islamic extremism just about as much as non-Muslims.More pointedly, overwhelming majorities say they are happy with their lives, have positive views of their communities, believe hard work is the path to success, see life as better here than in most Muslim countries and — Never mind that Muslims lack the numbers or, apparently, the wish to impose it.","Overwhelming majorities of Muslims say they are happy with their lives here, have positive views of their communities, believe hard work is the path to success, see life as better here than in most Muslim countries.",Islamophobia,"Islam is not a religion of poverty.  It is about opportunity and opportunity is about creating a better life for all. Poverty is not an Islamic problem.   Poverty is a human problem, and we all have a part to play in solving it.  Poverty can be solved only by addressing the root causes of it, and not by scapegoating a particular religious group. Poverty cannot be solved by making any generalisations or generalisations that can be applied to all religious groups.  If you want a better future for your children, you should work harder and pay more attention to your fellow human beings. Not to mention, your children will thank you!   [link to Raheem Stirling article about the Muslim"
"All Muslims should be deported, no one wants them here.","Speaking in the vast auditorium of Turkish president Recep Tayyip Erdoğan The pope repeated his call for tolerance when speaking at Turkey’s directorate for religious affairs, or Diyanet, in a joint meeting with Mehmet Görmez, the country’s most senior cleric.“Those who speak on behalf of God, such as fundamentalists, are part of the problem,” he said, adding that terrorism was “a rebellion against God, and as Muslims we reject this extremism and bloodshed”.Speaking at a joint press conference with Erdoğan, the pontiff underlined that it was “licit, while always respecting international law, to stop an unjust aggressor”, but added that military intervention would not bring sustainable peace to the region.“What is required is a concerted commitment on the part of all, based on mutual trust, which can pave the way to lasting peace, and enable resources to be directed, not to weaponry, but to the other noble battles worthy of man: the fight against hunger and sickness, the promotion of sustainable development and the protection of creation, and the relief of the many forms of poverty and marginalisation, of which there is no shortage in the world today,” the pope said.“It is essential that all citizens – Muslim, Jewish and Christian – both in the provision and practice of the law, enjoy the same rights and respect the same duties,” Francis said.","Pope Francis said: “It is essential that all citizens – Muslim, Jewish and Christian – both in the provision and practice of the law, enjoy the same rights and respect the same duties”. One of these rights is not to be deported.",Islamophobia,"If you really cared about human rights, you would call for the repatriation of all those who have been persecuted for their religion, ethnicity, or national identity. This would be a step in the right direction. But unfortunately for you, this is not how the world really works. People are persecuted all over the world for the crime of belonging to a minority religion, but this does not mean that they have no right to practice their religion or their national identity without fear of persecution. The same is true for Muslims. They have the same rights as anyone else to practice Islam, and to be protected from discrimination for it.Repatriation of Muslims to any Islamic country would send a message to the world that Islam is a peaceful religion and that"
