hateSpeech,knowledge_sentence,counterSpeech_x,target,counterSpeech_y
"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?","In an appearance Sunday on ABC's This Week, Walker didn't address religion when he said he's open to sending U.S. troops to the Middle East to fight the Islamic State in a “surgical” operation.They were given two choices: “Islam is an inherently violent religion, which leads its followers to violent acts” and “Islam is an inherently peaceful religion, but there are some who twist its teachings to justify violence.”Taking the opposite view from Coffey was Alex Bellings, 27, a customer-service worker from Coralville and likely Republican caucus-goer who sees Islam as a peaceful religion.Santorum added that “I'm not saying that all Muslims are terrorists, nor do I say that all Muslims support terrorism,” but that in his view the threat from Islamic terrorists to the U.S. is “rooted in the belief in an all-powerful God and has over a billion adherents who are taught that their faith supersedes all other faith.In one form or another, Islam has been warring with western civilization for 1,300 years.”Imam Johari Adbul-Malik, the outreach director at Dar Al-Hijrah Islamic Center in Falls Church, Va., said he was encouraged by the fact that majorities in both parties considered Islam to be peaceful.","You are given two choices: “Islam is an inherently violent religion, which leads its followers to violent acts” and “Islam is an inherently peaceful religion, but there are some who twist its teachings to justify violence.” I prefer the second interpretation.",Islamophobia,"['Child rapists are a tiny sick minority across all communities. Islam does not condone it and Muslims do not accept it.', 'The media is not ignoring those rape crimes. Those who commit the crimes are extremists. The majority of Muslims are peaceful and respect people. It is better we think about how we can prevent the crimes.', 'No religion is peaceful. Every religion had been provoking religious wars and murdering people. Islam is not that different in this respect from other religions.', 'Such numbers! Are you sure they are true? Can you give a link to the evidence about that?', 'Evidence?']"
Islam is a just a repressive ideology that persecutes women and gay people.,"Women are not slabs of meat in Islam.Well, under the Islamic State -- under the Islamic State, people will not be doing this relationship in the public arena.tortured people, tortured people for over 10 years in Guantanamo Bay.Should gay people... What about gay people?They are honored in Islam.",Women are not slabs of meat in Islam.,Islamophobia,"['Hmm, now what other religion does that sound like?', ""Well if we are talking about LGBT rights and misogyny, the Bible does not exactly have the best track record. But we've learnt to focus on it is positive values rather than get dragged down by specifics."", 'Great that you are defending women and gay people but why do I get the feeling it is really just an opportunity to take a dig at Islam. Btw just as in the Catholic church attitudes in Islam are changing fast.', 'When Germany legalised same-sex marriage in 2017, all Muslim MPs voted in favour, and 223 non-muslims opposed it. Which of those groups sounds more intolerant?', ""Many Muslims aren't homophobic and sexist, but like in any religion, some are. It is not the religion, its cultural and personal attitudes."", 'In this country women and gay people have been persecuted for centuries and there is still a long way to go to end it. How different are we really?', 'Many faiths are changing to end inequality and persecution of women and gay people and each have people who resist that change. Islam is no better or worse.', 'You sure?', ""Women and gay people face much more discrimination from right-wing non-muslim populist figures. (link to article about the 'homophobic muslim' stereotype)"", 'Articles showing the opposite.', ""An ideology based on a holy book written thousands of years ago isn't likely to match up to contemporary standards of equality and tolerance, but its not the ideology that matters, it is how it is followers act it out."", ""Sexism and homophobia aren't exclusively Muslim. You only have to look at the church to see that."", 'Women and gay people have been persecuted by many groups all over the world and it needs to change. Is there a particular reason you are picking on Islam?', 'Ironically, I think women and gay people feel more threatened by the same far-right individuals who attack Muslims. Intolerance of one group seems to indicate intolerance of others too.', 'In the US, Muslims are more likely to be tolerant of LGBT+ people than Christians. Any religion can be used to persecute certain groups, it is the interpretation of it by it is followers that matters.', 'The same could be said for most other major religions, but have you singled out Islam here to suit your own agenda?']"
Islam is a just a repressive ideology that persecutes women and gay people.,"Remember that those standing up to Muslim fanatics are mostly Muslims.First, historically, Islam was not particularly intolerant, and it initially elevated the status of women.In Indonesia, the most populous Muslim country in the world, only 16 percent of Muslims favor such a penalty. Moreover, of the 10 bottom-ranking countries in the World Economic Forum’s report on women’s rights, nine are majority Muslim.One of my scariest encounters was with mobs of Javanese Muslims who were beheading people they accused of sorcery and carrying their heads on pikes.Iran has persecuted Christians and Bahais, but a Muslim lawyer, Mohammad Ali Dadkhah, showed enormous courage by challenging the repression and winning release of a pastor.","Remember that those standing up to Muslim fanatics are mostly Muslims, and they are paying the highest price. Furthermore, historically, Islam was not particularly intolerant, and it elevated the status of women.",Islamophobia,"['Hmm, now what other religion does that sound like?', ""Well if we are talking about LGBT rights and misogyny, the Bible does not exactly have the best track record. But we've learnt to focus on it is positive values rather than get dragged down by specifics."", 'Great that you are defending women and gay people but why do I get the feeling it is really just an opportunity to take a dig at Islam. Btw just as in the Catholic church attitudes in Islam are changing fast.', 'When Germany legalised same-sex marriage in 2017, all Muslim MPs voted in favour, and 223 non-muslims opposed it. Which of those groups sounds more intolerant?', ""Many Muslims aren't homophobic and sexist, but like in any religion, some are. It is not the religion, its cultural and personal attitudes."", 'In this country women and gay people have been persecuted for centuries and there is still a long way to go to end it. How different are we really?', 'Many faiths are changing to end inequality and persecution of women and gay people and each have people who resist that change. Islam is no better or worse.', 'You sure?', ""Women and gay people face much more discrimination from right-wing non-muslim populist figures. (link to article about the 'homophobic muslim' stereotype)"", 'Articles showing the opposite.', ""An ideology based on a holy book written thousands of years ago isn't likely to match up to contemporary standards of equality and tolerance, but its not the ideology that matters, it is how it is followers act it out."", ""Sexism and homophobia aren't exclusively Muslim. You only have to look at the church to see that."", 'Women and gay people have been persecuted by many groups all over the world and it needs to change. Is there a particular reason you are picking on Islam?', 'Ironically, I think women and gay people feel more threatened by the same far-right individuals who attack Muslims. Intolerance of one group seems to indicate intolerance of others too.', 'In the US, Muslims are more likely to be tolerant of LGBT+ people than Christians. Any religion can be used to persecute certain groups, it is the interpretation of it by it is followers that matters.', 'The same could be said for most other major religions, but have you singled out Islam here to suit your own agenda?']"
All Muslims are incompatible with any Western society.,"The United Methodist Church, for example, formally considers homosexuality incompatible with Christian doctrine.To read more about religious denominations’ policies, practices and tolerance for diversity in the post-Prop. 8 world, click here.’s practice doesn’t necessarily follow its policy.There’s also an organization called Muslims for Progressive Values that dispatches imams around the country to perform Islamic weddings for gays and lesbians, even though mainstream Islam condemns homosexuality.Gay and lesbian couples who want a religious wedding, may be surprised that a church But 82 Methodist ministers signed a statement last week saying they were prepared to perform same-sex weddings at any Methodist church that lacked a pastor.",Why do you say that ALL Muslims are incompatible with any Western society? Because they condemn homosexuality? Did you know that there’s also an organization called Muslims for Progressive Values that dispatches imams around the country to perform Islamic weddings for gays and lesbians?,Islamophobia,"['By Western society do you mean your narrow view of what Western society should be?', 'The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!', 'Western Society seems pretty incompatible with Western Society or any other at the moment, maybe we could learn something from Indonesia, which has been conflict free since 2005.', 'Why are you so sure of this? Muslims happily live in other Western societies without any problems.', ""I do not think it is possible for a group that has been a part of Western society for hundreds of years to suddenly be 'incompatible' with it. Are you sure it is not Western society's intolerance that is the problem?"", 'Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?', 'What do you mean? Provide positive news story re islam.', 'No, Muslims have a long history of migration since the 16th century to and within Europe, integrating with little issues in various European societies.', 'The Bible the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?', 'Did you know that Muslims introduced universities to Europe? So the knowledge Western societies are built on.', ""Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?"", 'I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.', 'Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.', 'Intolerance of other peoples religious beliefs is incompatible with Western society.', 'Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?', 'That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.', 'Complete freedom, justice and democratic values. The values at the heart of Islamic faith. I think they seem reasonable.', 'Yes, their teachings of peace and tolerance really are incompatible in the hate-infested discriminatory Western society nowadays.', ""What makes 'all' Muslims incompatible with Western society? The vast majority of Muslims in Western society share western values of respect, freedom, tolerance, etc. There are only a few that have extremist anti-West views, these are not representative."", 'Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society- to say they are incompatible is a complete incongruity.', ""All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran."", 'Define western society? Who chooses this?', 'Maybe prejudice and xenophobia are incompatible with any Western society?', 'All people who share such blatant lies and hate are incompatible with any Western society.', 'Millions of muslims live in western nations.', 'Seems odd given that Western Society was build on the backs of the rest of the world.', 'Except all of those which live and add to Western Societies.', 'Who chooses who is and is not compatible with a place / society?', 'Muslims must show loyalty to whatever society they reside in, as failure to do so is going against their religion and loyalty to God.', 'That is why they are surgeons, doctors, teachers, entrepreneurs.', 'Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.', 'All Muslims? That is a bit of an exaggeration I would say. Do not blame an entire community for actions of a few.', 'Muslims have been a part of western society for hundreds and hundreds of years and have been integral to its development, to try and separate the two is impossible.']"
All Muslims are incompatible with any Western society.,"The pope criticised the growingsecularisation of Western society Pope Benedict XVI was ""full of enmity and grudge"" against Islam.""The Pope's views about the role of Sharia [Islamic law] and The pope was also criticised by Muslim scholars and religious leaders in Pakistan who urged him to play a positive role in bringing Islam and Christianity closer. ""The Pope is a respected personality not only for Christians but for Muslims also.He said: ""The Pope is a respected personality not only for Christians but for Muslims also.","The pope once criticised the growing secularisation of Western society, is christianity incompatible with Western society too?",Islamophobia,"['By Western society do you mean your narrow view of what Western society should be?', 'The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!', 'Western Society seems pretty incompatible with Western Society or any other at the moment, maybe we could learn something from Indonesia, which has been conflict free since 2005.', 'Why are you so sure of this? Muslims happily live in other Western societies without any problems.', ""I do not think it is possible for a group that has been a part of Western society for hundreds of years to suddenly be 'incompatible' with it. Are you sure it is not Western society's intolerance that is the problem?"", 'Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?', 'What do you mean? Provide positive news story re islam.', 'No, Muslims have a long history of migration since the 16th century to and within Europe, integrating with little issues in various European societies.', 'The Bible the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?', 'Did you know that Muslims introduced universities to Europe? So the knowledge Western societies are built on.', ""Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?"", 'I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.', 'Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.', 'Intolerance of other peoples religious beliefs is incompatible with Western society.', 'Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?', 'That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.', 'Complete freedom, justice and democratic values. The values at the heart of Islamic faith. I think they seem reasonable.', 'Yes, their teachings of peace and tolerance really are incompatible in the hate-infested discriminatory Western society nowadays.', ""What makes 'all' Muslims incompatible with Western society? The vast majority of Muslims in Western society share western values of respect, freedom, tolerance, etc. There are only a few that have extremist anti-West views, these are not representative."", 'Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society- to say they are incompatible is a complete incongruity.', ""All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran."", 'Define western society? Who chooses this?', 'Maybe prejudice and xenophobia are incompatible with any Western society?', 'All people who share such blatant lies and hate are incompatible with any Western society.', 'Millions of muslims live in western nations.', 'Seems odd given that Western Society was build on the backs of the rest of the world.', 'Except all of those which live and add to Western Societies.', 'Who chooses who is and is not compatible with a place / society?', 'Muslims must show loyalty to whatever society they reside in, as failure to do so is going against their religion and loyalty to God.', 'That is why they are surgeons, doctors, teachers, entrepreneurs.', 'Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.', 'All Muslims? That is a bit of an exaggeration I would say. Do not blame an entire community for actions of a few.', 'Muslims have been a part of western society for hundreds and hundreds of years and have been integral to its development, to try and separate the two is impossible.']"
All Muslims are incompatible with any Western society.,"And that ultimately western society will always have the monopoly on what is fashionable and relevant.As a Muslim woman and the intended target consumer, I thought that the pale white model wearing the clothing served as yet another stark reminder that eastern culture may only be celebrated when it is glamorised by western society, which can in turn capitalise on it.In the context of global Islamophobia, there is something that makes me feel quite uneasy seeing a towering white woman praised for looking glamorous in the same clothing that often leaves Muslim women perceived as “extremist” and puts them at risk of being attacked or even criminalised in some western societies.Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013, it becomes clear what truly motivates these brands in their production of “modest” clothing.The fashion industry has been hugely successful in Muslim countries for many years now, and Muslim women around the globe have been extremely inventive in creating fashionable looks that allow high fashion clothing to conform to guidelines of Islamic dress.It is difficult for me to feel excited and grateful for a fashion line that supposedly caters to me and the requirements of my faith, when it feels as though the overwhelming message is that the only desirable Muslim is a wealthy one; that Muslim fashion is acceptable, but only when legitimised by a major western fashion label.","Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013. The fashion industry has been hugely successful in Muslim countries for many years now. ""All Muslims are incompatible with any Western society""... unless they buy our products of course!",Islamophobia,"['By Western society do you mean your narrow view of what Western society should be?', 'The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!', 'Western Society seems pretty incompatible with Western Society or any other at the moment, maybe we could learn something from Indonesia, which has been conflict free since 2005.', 'Why are you so sure of this? Muslims happily live in other Western societies without any problems.', ""I do not think it is possible for a group that has been a part of Western society for hundreds of years to suddenly be 'incompatible' with it. Are you sure it is not Western society's intolerance that is the problem?"", 'Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?', 'What do you mean? Provide positive news story re islam.', 'No, Muslims have a long history of migration since the 16th century to and within Europe, integrating with little issues in various European societies.', 'The Bible the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?', 'Did you know that Muslims introduced universities to Europe? So the knowledge Western societies are built on.', ""Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?"", 'I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.', 'Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.', 'Intolerance of other peoples religious beliefs is incompatible with Western society.', 'Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?', 'That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.', 'Complete freedom, justice and democratic values. The values at the heart of Islamic faith. I think they seem reasonable.', 'Yes, their teachings of peace and tolerance really are incompatible in the hate-infested discriminatory Western society nowadays.', ""What makes 'all' Muslims incompatible with Western society? The vast majority of Muslims in Western society share western values of respect, freedom, tolerance, etc. There are only a few that have extremist anti-West views, these are not representative."", 'Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society- to say they are incompatible is a complete incongruity.', ""All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran."", 'Define western society? Who chooses this?', 'Maybe prejudice and xenophobia are incompatible with any Western society?', 'All people who share such blatant lies and hate are incompatible with any Western society.', 'Millions of muslims live in western nations.', 'Seems odd given that Western Society was build on the backs of the rest of the world.', 'Except all of those which live and add to Western Societies.', 'Who chooses who is and is not compatible with a place / society?', 'Muslims must show loyalty to whatever society they reside in, as failure to do so is going against their religion and loyalty to God.', 'That is why they are surgeons, doctors, teachers, entrepreneurs.', 'Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.', 'All Muslims? That is a bit of an exaggeration I would say. Do not blame an entire community for actions of a few.', 'Muslims have been a part of western society for hundreds and hundreds of years and have been integral to its development, to try and separate the two is impossible.']"
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"1 FLR 571, 573, 576, that male circumcision does involve harm, or the risk of harm.The fact that it may be a “cultural” practice does not make FGM reasonable; indeed, the proposition is specifically negatived by section 1(5) of the 2003 Act.It is at this point in the analysis, as it seems to me, that the clear distinction between FGM and male circumcision appears.FGM has no basis in any religion; male circumcision is often performed for religious reasons.In my judgment, any form of FGM constitutes “significant harm” within the meaning of section[] 31 …. So, he submits, it can never be reasonable parenting to inflict any form of FGM on a child.","While male circumcision is often performed for religious reasons, FGM has no basis in any religion, so the religion of her parents has nothing to do with this cruelty.",Islamophobia,"['Fgm is a serious human rights abuse. If you really care about stopping it, I think you should focus your energy on campaigning against it, not using it to support your anti-Muslim rhetoric.', 'Christians also practise FGM. It is not a uniquely Muslim problem.', 'Fgm is not a Muslim-only issue. It is routed in the cultures of certain countries, not in religion.', 'Many Islamic scholars actively campaign against FGM, it is not mentioned in the Qaran and is banned in a number of Muslim countries. This is a cultural problem, not a religious one.', '26% of all doctors in the NHS are Asian or British Asian and abhor FGM. They are making a difference instead of just spreading hate and division in our community.', 'Fgm is not a Muslim practice. It is a cultural practice that is often tied to religion as a way to justify it. Not all Muslims practice it and not all those that practice it are Muslim!', ""Fgm is not only practised by Muslims. It is a cultural practice regardless of anyone's religion."", 'The Muslim Council of Britain agrees that FGM is against Islamic teachings. Muslims disagree with FGM. Stop spreading negative stereotypes!', 'Mgm FGM have been in Britain for hundreds of years. It is never acceptable but it does not come from just one country or ideology.', 'Fgm is not widely practised in Muslim countries like Morocco, Libya, Saudi Arabia, Oman, Jordan. It is a cultural thing, many Muslims do not do it.', ""I agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem."", 'The problem is, it seems to me like you are just using this as an excuse to express your Islamophobia. Fgm is a very serious breach of human rights and you do not seem to be interested in tackling the real problem.', 'Female Genital Mutilation occurs in non-Muslim societies (including Christian and Animist ones) it is a cultural practice, not connected to religion.', 'How can you say that about an entire faith?', 'Fgm is very serious breach of human rights which we need to address as an international community but it does not come from Islam, we need to look at the whole problem to tackle it.', 'The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.', 'Where do you get this misconception of that only Muslims practise FGM?']"
"Not all Muslims are terrorists, but all terrorists are Muslims.","Anthea Butler, professor of religious studies Following Ted Cruz’s logic, Christians can never be terrorists after the crusades, and Muslims always are terrorists.While ideological violence is not a leading threat to public safety in the U.S., in recent years, right-wing extremists have killed as many people in the U.S. as Muslim extremists, and possibly more.Conflating a reader of Al Qaeda texts with the 9/11 plotters demonizes Muslims.Thomas M. Sanderson, Center for Strategic and International Studies The F.B.I. is investigating 900 Americans for links to ISIS, which has plied locally based followers with visions of revenge.Arie Perliger, U.S. Military Academy Including all mass shootings under one umbrella of “terrorism” leads to a lack of understanding of their unique nature, which can result in imprecise and inadequate counter policies.","While ideological violence is not a leading threat to public safety in the U.S., in recent years, right-wing extremists have killed as many people in the U.S. as Muslim extremists, and possibly more. Conflating a reader of the Quran with the 9/11 plotters demonizes Muslims.",Islamophobia,"['Are you sure it is not just that Muslim terrorists get a lot of biased media coverage?', 'I do not see a lot of news articles about far right terrorism even though it is much more prevalent and is considered the biggest and fastest growing threat.', 'And your evidence is. Or does your logic stop there.', 'So do all those Western bombings and invasions of Muslim countries not count as terrorism?', ""Only because when a non-muslim commits a terrorist act it is not called terrorism. Instead they're a 'lone wolf' with a 'traumatic past'."", 'Well the Home Office would say differently, but if it helps your cause.', 'Continuity Army? Ulster Freedom Fighters? Even the Basque Freedom Fighters? Those Muslims get everywhere!', 'This is demonstrably false. Radical Christian terrorism has been behind countless attacks. Terrorism can come from any group and the only thing all terrorism has in common is that it is abhorrent.', 'Accept far right terrorism is increasing while overall terrorism acts are going down. Https://www.bbc.co.uk/news/uk-43200968.', 'Apart from all those who use violence/terrorism who are not Muslim?', 'What about recent school and mall shootings all over the US? Those were White Christian terrorists.', 'If we end up with a hard border I hope we do not find out.', ""There are a lot of non-Muslim terrorists but the media focuses on Muslim terrorists and does not call the non-Muslim ones terrorists. When was the last time you saw a white non-muslim school shooter in the US branded a 'terrorist'?"", 'Jeremy Joseph Christian, James Field Jr, James Harris Jackson, Wade Michael Page, need I go on?', 'Studies in the US show the majority of terrorist incidents are committed by right-wing extremists, not Muslims. Be critical of what you read, the news is very biased.', 'How about all those non-Muslim school shooters? Is mass murder not terrorism if a non-Muslim does it?', 'This is not true. They are non-Muslim terrorists out there. Have you forgotten?']"
Every Muslim is a potential terrorist.,"The overwhelming majority of Muslims rejected and denounced the film that insulted the Prophet Muhammad.Some 1.5 billion Muslims worldwide are being depicted and characterized by tens of thousands of angry protesters.Here is another fact: the overwhelming majority of Muslims did not participate in protests, take to the streets or attack embassies or restaurants.Lebanon has seen its share of ant-film protests.The initial wave of protests was deadly, destructive and disruptive.Since the emergence of an insulting anti-Islam film surfaced last week, a wave of frenzy has swept the Muslim world at large and the Arab world in specific.","When the movie against the prophet was aired, 1.5 billion Muslims worldwide were being depicted and characterized by the actions of tens of thousands of angry protesters. Here is another fact: the overwhelming majority of Muslims did not participate in protests, take to the streets or attack embassies or restaurants. This is not an overwhelming majority of Muslims potential terrorists.",Islamophobia,"['Everyone is a potential everything, what would you like to be?', 'I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.', 'The majority of Muslims worldwide are peaceful.', 'Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK.', 'No, Muslims are actually more likely to be the victim of a terrorist attack, especially those living in the Middle-East.', 'Every person is a potential terrorist. What is your point?', 'And views like that, that lumps all Muslims together, pretends they are less than human pushes them a tiny bit closer.', 'Every Muslim also has the potential to fight back against terrorism, show support to it is victims, and make the world a better place. (insert news articles about Muslims against terrorism, helping after terrorist attacks, etc.)', 'I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well?', 'Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.', 'How can you say a person is a potential terrorist?', 'You could say that about any person, Muslim or not. According to the government, far right extremism is a bigger terrorist threat than Muslims. Does that make you a potential terrorist?', 'As is every far right armchair activist.', 'But not the ones that fought and died for Britain in both wars and all wars after.', 'Why would you stereotype and generalise an entire community for actions of a few?', 'Any individual may become a terrorist. Religious beliefs do not play part in this.', 'Every Muslim is a potential peace advocate as well.', 'Every Muslim is also a potential peacemaker, doctor, philanthropist. What is your point?', 'So 1.6 billion people could be terrorists?', 'What do you base your view on?']"
Every Muslim is a potential terrorist.,"Across the UK there are hundreds of Muslim councillors, and the House of Commons has 13 Muslim MPs.Khan, the son of a London bus driver, recently joked that he was not the first Muslim politician in the UK, highlighting Sajid Javid, the Tory business secretary.Germany, Netherlands and Sweden have been trying to stem the rise in anti-immigration parties buoyed by Europe’s migration crisis and fears over Brussels and Paris styled terrorist attacks.In the rest of Europe, Muslim politicians are scarce but not absent.Sadiq Khan is the first directly-elected Muslim mayor of a Western capital city.In the current climate, the election of a Muslim mayor in a Western capital is significant .","Across Europe there are hundreds of Muslim councillors and politicians. Are they potential terrorists? And what about Sadiq Khan, the first directly-elected Muslim mayor of a Western capital city? Is he a potential terrorist as well?",Islamophobia,"['Everyone is a potential everything, what would you like to be?', 'I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.', 'The majority of Muslims worldwide are peaceful.', 'Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK.', 'No, Muslims are actually more likely to be the victim of a terrorist attack, especially those living in the Middle-East.', 'Every person is a potential terrorist. What is your point?', 'And views like that, that lumps all Muslims together, pretends they are less than human pushes them a tiny bit closer.', 'Every Muslim also has the potential to fight back against terrorism, show support to it is victims, and make the world a better place. (insert news articles about Muslims against terrorism, helping after terrorist attacks, etc.)', 'I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well?', 'Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.', 'How can you say a person is a potential terrorist?', 'You could say that about any person, Muslim or not. According to the government, far right extremism is a bigger terrorist threat than Muslims. Does that make you a potential terrorist?', 'As is every far right armchair activist.', 'But not the ones that fought and died for Britain in both wars and all wars after.', 'Why would you stereotype and generalise an entire community for actions of a few?', 'Any individual may become a terrorist. Religious beliefs do not play part in this.', 'Every Muslim is a potential peace advocate as well.', 'Every Muslim is also a potential peacemaker, doctor, philanthropist. What is your point?', 'So 1.6 billion people could be terrorists?', 'What do you base your view on?']"
